rule,quote_date,expiration,option_type,strike,k1,k2,k3,bid_k1,ask_k2,bid_k3,slope_left,slope_right,detail
convexity,2025-10-01,2025-10-01,call,668.0,667.0,668.0,669.0,1.79,0.89,0.21,-0.9,-0.68,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,call,669.0,668.0,669.0,670.0,0.86,0.22,0.02,-0.64,-0.2,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,call,670.0,669.0,670.0,671.0,0.21,0.03,0.01,-0.18,-0.019999999999999997,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,667.0,666.0,667.0,668.0,0.01,0.03,0.08,0.019999999999999997,0.05,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,668.0,667.0,668.0,669.0,0.02,0.09,0.42,0.06999999999999999,0.32999999999999996,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,669.0,668.0,669.0,670.0,0.08,0.43,1.19,0.35,0.76,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-01,put,670.0,669.0,670.0,671.0,0.42,1.27,2.17,0.8500000000000001,0.8999999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,667.0,666.0,667.0,668.0,3.45,2.67,1.91,-0.7800000000000002,-0.76,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,668.0,667.0,668.0,669.0,2.64,1.93,1.28,-0.7100000000000002,-0.6499999999999999,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,669.0,668.0,669.0,670.0,1.91,1.29,0.78,-0.6199999999999999,-0.51,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,670.0,669.0,670.0,671.0,1.28,0.79,0.44,-0.49,-0.35000000000000003,discrete convexity violated even with best-case bounds
convexity,2025-10-01,2025-10-02,call,671.0,670.0,671.0,672.0,0.78,0.45,0.22,-0.33,-0.23,discrete convexity violated even with best-case bounds
