quote_date,expiration,option_type,rows,monotonicity_violations,convexity_violations,calendar_violations
2025-10-01,2025-10-01,call,166,0,3,0
2025-10-01,2025-10-01,put,166,0,4,0
2025-10-01,2025-10-02,call,166,0,7,0
2025-10-01,2025-10-02,put,166,0,8,0
2025-10-01,2025-10-03,call,207,0,10,0
2025-10-01,2025-10-03,put,207,0,8,0
2025-10-01,2025-10-06,call,166,0,11,0
2025-10-01,2025-10-06,put,166,0,9,0
2025-10-01,2025-10-07,call,166,0,10,0
2025-10-01,2025-10-07,put,166,0,5,0
2025-10-01,2025-10-08,call,142,0,10,0
2025-10-01,2025-10-08,put,142,0,2,0
2025-10-01,2025-10-09,call,124,0,8,0
2025-10-01,2025-10-09,put,124,0,0,0
2025-10-01,2025-10-10,call,200,0,8,0
2025-10-01,2025-10-10,put,200,0,0,0
2025-10-01,2025-10-13,call,126,0,2,0
2025-10-01,2025-10-13,put,126,0,0,0
2025-10-01,2025-10-14,call,126,0,1,0
2025-10-01,2025-10-14,put,126,0,0,0
2025-10-01,2025-10-15,call,30,0,10,0
2025-10-01,2025-10-15,put,30,0,11,0
2025-10-01,2025-10-17,call,205,0,1,0
2025-10-01,2025-10-17,put,205,0,0,0
2025-10-01,2025-10-24,call,146,0,0,0
2025-10-01,2025-10-24,put,146,0,0,0
2025-10-01,2025-10-31,call,264,0,0,0
2025-10-01,2025-10-31,put,264,0,0,0
2025-10-01,2025-11-07,call,136,0,7,0
2025-10-01,2025-11-07,put,136,0,5,0
2025-10-01,2025-11-21,call,136,0,10,0
2025-10-01,2025-11-21,put,136,0,4,0
2025-10-01,2025-11-28,call,237,0,4,0
2025-10-01,2025-11-28,put,237,0,0,0
2025-10-01,2025-12-19,call,139,0,20,0
2025-10-01,2025-12-19,put,139,0,18,0
2025-10-01,2025-12-31,call,228,0,8,0
2025-10-01,2025-12-31,put,228,0,0,0
2025-10-01,2026-01-16,call,127,0,21,0
2025-10-01,2026-01-16,put,127,0,11,0
2025-10-01,2026-01-30,call,149,0,21,0
2025-10-01,2026-01-30,put,149,0,4,0
2025-10-01,2026-02-20,call,94,0,24,0
2025-10-01,2026-02-20,put,94,0,5,0
2025-10-01,2026-02-27,call,153,0,18,0
2025-10-01,2026-02-27,put,153,0,2,0
2025-10-01,2026-03-20,call,122,0,20,0
2025-10-01,2026-03-20,put,122,0,5,0
2025-10-01,2026-03-31,call,157,0,17,0
2025-10-01,2026-03-31,put,157,0,0,0
2025-10-01,2026-06-18,call,126,0,11,0
2025-10-01,2026-06-18,put,126,0,1,0
2025-10-01,2026-06-30,call,158,0,2,0
2025-10-01,2026-06-30,put,158,0,0,0
2025-10-01,2026-09-18,call,119,0,1,0
2025-10-01,2026-09-18,put,119,0,0,0
2025-10-01,2026-09-30,call,156,0,0,0
2025-10-01,2026-09-30,put,156,0,0,0
2025-10-01,2026-12-18,call,140,0,0,0
2025-10-01,2026-12-18,put,140,0,0,0
2025-10-01,2027-01-15,call,161,0,0,0
2025-10-01,2027-01-15,put,161,0,0,0
2025-10-01,2027-12-17,call,161,0,0,0
2025-10-01,2027-12-17,put,161,0,0,0
2025-10-01,2028-01-21,call,161,0,0,0
2025-10-01,2028-01-21,put,161,0,0,0
2025-10-02,2025-10-02,call,166,0,3,0
2025-10-02,2025-10-02,put,166,0,3,0
2025-10-02,2025-10-03,call,207,0,8,0
2025-10-02,2025-10-03,put,207,0,9,0
2025-10-02,2025-10-06,call,166,0,9,0
2025-10-02,2025-10-06,put,166,0,9,0
2025-10-02,2025-10-07,call,166,0,12,0
2025-10-02,2025-10-07,put,166,0,10,0
2025-10-02,2025-10-08,call,142,0,12,0
2025-10-02,2025-10-08,put,142,0,7,0
2025-10-02,2025-10-09,call,124,0,12,0
2025-10-02,2025-10-09,put,124,0,1,0
2025-10-02,2025-10-10,call,200,0,11,0
2025-10-02,2025-10-10,put,200,0,0,0
2025-10-02,2025-10-13,call,126,0,9,0
2025-10-02,2025-10-13,put,126,0,0,0
2025-10-02,2025-10-14,call,126,0,7,0
2025-10-02,2025-10-14,put,126,0,0,0
2025-10-02,2025-10-15,call,134,0,0,0
2025-10-02,2025-10-15,put,134,0,0,0
2025-10-02,2025-10-16,call,30,0,9,0
2025-10-02,2025-10-16,put,30,0,11,0
2025-10-02,2025-10-17,call,205,0,7,0
2025-10-02,2025-10-17,put,205,0,0,0
2025-10-02,2025-10-24,call,146,0,0,0
2025-10-02,2025-10-24,put,146,0,0,0
2025-10-02,2025-10-31,call,264,0,0,0
2025-10-02,2025-10-31,put,264,0,0,0
2025-10-02,2025-11-07,call,136,0,7,0
2025-10-02,2025-11-07,put,136,0,5,0
2025-10-02,2025-11-14,call,29,0,0,0
2025-10-02,2025-11-14,put,29,0,0,0
2025-10-02,2025-11-21,call,136,0,11,0
2025-10-02,2025-11-21,put,136,0,6,0
2025-10-02,2025-11-28,call,237,0,4,0
2025-10-02,2025-11-28,put,237,0,0,0
2025-10-02,2025-12-19,call,139,0,20,0
2025-10-02,2025-12-19,put,139,0,16,0
2025-10-02,2025-12-31,call,228,0,8,0
2025-10-02,2025-12-31,put,228,0,0,0
